invoice_number,date,client_name,client_id,subtotal,tax,total,file
000233,2025-08-17,Aitana Goicoechea Cerezo,713-51-5173,3534.7700000000004,636.26,4171.03,invoices_output\invoice_000233.html
000234,2024-12-22,Reyes Romero Guillén,644-34-5097,2876.9300000000003,517.85,3394.78,invoices_output\invoice_000234.html
000235,2025-01-14,Nilo Checa Cornejo,235-39-3427,5535.84,664.3,6200.14,invoices_output\invoice_000235.html
000236,2025-07-24,Débora del Saura,922-71-7649,5860.77,1054.94,6915.71,invoices_output\invoice_000236.html
000237,2025-09-27,Jose Luis Paulino Cuervo Núñez,356-32-2426,5707.95,0.0,5707.95,invoices_output\invoice_000237.html
000238,2025-03-03,Dalila Blanes Plaza,867-73-6119,8394.41,0.0,8394.41,invoices_output\invoice_000238.html
000239,2024-12-01,Rosa María Almeida Arrieta,650-95-1791,10902.659999999998,1308.32,12210.98,invoices_output\invoice_000239.html
000240,2025-04-30,Vilma Morán Machado,586-99-9246,3759.12,676.64,4435.76,invoices_output\invoice_000240.html
000241,2025-07-05,Anunciación Bartolomé Villegas,092-06-7040,6152.0,0.0,6152.0,invoices_output\invoice_000241.html
000242,2025-01-14,Manu Losa,061-49-3291,639.39,76.73,716.12,invoices_output\invoice_000242.html
000243,2025-04-28,René del Amador,905-95-4157,113.84,20.49,134.33,invoices_output\invoice_000243.html
000244,2025-03-29,Aroa Pont Azcona,781-28-6128,1341.81,161.02,1502.83,invoices_output\invoice_000244.html
000245,2025-11-03,María Jesús Prado,920-12-6654,2146.3500000000004,386.34,2532.69,invoices_output\invoice_000245.html
000246,2025-08-11,José Mari Sainz Perea,633-44-3759,2646.04,476.29,3122.33,invoices_output\invoice_000246.html
000247,2025-01-15,Raquel Fiol Morales,580-55-6617,3086.89,555.64,3642.53,invoices_output\invoice_000247.html
000248,2025-08-26,Natanael Salgado Briones,431-64-5873,888.57,159.94,1048.51,invoices_output\invoice_000248.html
000249,2025-03-22,Maura Pera-Pablo,063-78-4728,1383.0700000000002,0.0,1383.07,invoices_output\invoice_000249.html
000250,2025-03-02,Felicia del Mateos,089-27-2017,4533.049999999999,815.95,5349.0,invoices_output\invoice_000250.html
